id,name,score1,score2
1,Student_1,50,82
2,Student_2,72,89
3,Student_3,61,92
4,Student_4,55,71
5,Student_5,86,84
6,Student_6,94,63
7,Student_7,59,94
8,Student_8,79,86
9,Student_9,60,57
10,Student_10,60,87
11,Student_11,84,80
12,Student_12,70,55
13,Student_13,62,55
14,Student_14,89,100
15,Student_15,56,60
16,Student_16,95,85
17,Student_17,65,81
18,Student_18,73,53
19,Student_19,65,96
20,Student_20,57,83
21,Student_21,66,92
22,Student_22,81,53
23,Student_23,96,84
24,Student_24,62,94
25,Student_25,52,82
26,Student_26,67,55
27,Student_27,52,54
28,Student_28,71,58
29,Student_29,62,81
30,Student_30,66,73
31,Student_31,50,79
32,Student_32,71,79
33,Student_33,80,52
34,Student_34,93,64
35,Student_35,73,100
36,Student_36,63,69
37,Student_37,98,75
38,Student_38,63,94
39,Student_39,76,64
40,Student_40,58,98
41,Student_41,90,73
42,Student_42,81,51
43,Student_43,64,88
44,Student_44,84,52
45,Student_45,98,57
46,Student_46,79,90
47,Student_47,93,65
48,Student_48,60,56
49,Student_49,87,98
50,Student_50,61,95
51,Student_51,98,70
52,Student_52,87,65
53,Student_53,65,86
54,Student_54,60,79
55,Student_55,52,79
56,Student_56,79,67
57,Student_57,72,75
58,Student_58,90,81
59,Student_59,60,54
60,Student_60,70,80
61,Student_61,68,98
62,Student_62,51,95
63,Student_63,95,91
64,Student_64,88,58
65,Student_65,94,100
66,Student_66,59,87
67,Student_67,95,82
68,Student_68,94,64
69,Student_69,64,86
70,Student_70,92,98
71,Student_71,50,87
72,Student_72,70,71
73,Student_73,95,100
74,Student_74,51,82
75,Student_75,100,72
76,Student_76,82,90
77,Student_77,81,90
78,Student_78,50,54
79,Student_79,52,94
80,Student_80,87,72
81,Student_81,95,83
82,Student_82,62,73
83,Student_83,60,99
84,Student_84,94,73
85,Student_85,88,67
86,Student_86,84,62
87,Student_87,94,68
88,Student_88,86,66
89,Student_89,63,77
90,Student_90,71,52
91,Student_91,54,99
92,Student_92,63,82
93,Student_93,57,50
94,Student_94,68,54
95,Student_95,90,53
96,Student_96,97,56
97,Student_97,79,70
98,Student_98,77,81
99,Student_99,66,80
100,Student_100,56,69
101,Student_101,76,97
102,Student_102,100,80
103,Student_103,95,53
104,Student_104,84,75
105,Student_105,85,81
106,Student_106,58,66
107,Student_107,81,81
108,Student_108,77,78
109,Student_109,70,94
110,Student_110,92,85
111,Student_111,96,60
112,Student_112,58,91
113,Student_113,95,87
114,Student_114,66,77
115,Student_115,50,74
116,Student_116,55,91
117,Student_117,58,79
118,Student_118,96,73
119,Student_119,95,56
120,Student_120,55,86
121,Student_121,78,64
122,Student_122,84,91
123,Student_123,51,56
124,Student_124,89,65
125,Student_125,89,74
126,Student_126,50,76
127,Student_127,58,84
128,Student_128,82,85
129,Student_129,87,91
130,Student_130,91,93
131,Student_131,97,68
132,Student_132,65,80
133,Student_133,67,55
134,Student_134,88,68
135,Student_135,50,60
136,Student_136,53,68
137,Student_137,67,71
138,Student_138,79,88
139,Student_139,58,67
140,Student_140,83,72
141,Student_141,96,69
142,Student_142,80,73
143,Student_143,98,52
144,Student_144,95,51
145,Student_145,63,57
146,Student_146,80,77
147,Student_147,53,60
148,Student_148,91,62
149,Student_149,71,70
150,Student_150,79,83
151,Student_151,95,76
152,Student_152,74,63
153,Student_153,71,75
154,Student_154,90,89
155,Student_155,68,96
156,Student_156,78,98
157,Student_157,99,59
158,Student_158,62,53
159,Student_159,93,62
160,Student_160,56,65
161,Student_161,69,55
162,Student_162,71,81
163,Student_163,91,77
164,Student_164,73,82
165,Student_165,95,65
166,Student_166,76,69
167,Student_167,60,95
168,Student_168,86,69
169,Student_169,58,57
170,Student_170,95,67
171,Student_171,97,67
172,Student_172,91,76
173,Student_173,53,92
174,Student_174,76,57
175,Student_175,97,100
176,Student_176,55,97
177,Student_177,93,99
178,Student_178,60,61
179,Student_179,90,95
180,Student_180,98,86
181,Student_181,71,81
182,Student_182,91,56
183,Student_183,78,85
184,Student_184,61,78
185,Student_185,89,80
186,Student_186,93,78
187,Student_187,56,86
188,Student_188,53,92
189,Student_189,74,64
190,Student_190,92,71
191,Student_191,60,94
192,Student_192,71,89
193,Student_193,54,59
194,Student_194,75,84
195,Student_195,88,89
196,Student_196,55,88
197,Student_197,58,64
198,Student_198,85,94
199,Student_199,85,93
200,Student_200,73,86
201,Student_201,70,60
202,Student_202,57,81
203,Student_203,63,88
204,Student_204,90,81
205,Student_205,76,81
206,Student_206,65,70
207,Student_207,52,91
208,Student_208,82,62
209,Student_209,64,50
210,Student_210,74,99
211,Student_211,70,70
212,Student_212,92,90
213,Student_213,62,72
214,Student_214,52,100
215,Student_215,86,76
216,Student_216,81,56
217,Student_217,67,55
218,Student_218,89,63
219,Student_219,54,59
220,Student_220,67,70
221,Student_221,68,95
222,Student_222,60,64
223,Student_223,57,83
224,Student_224,74,92
225,Student_225,65,52
226,Student_226,65,51
227,Student_227,84,82
228,Student_228,88,91
229,Student_229,60,86
230,Student_230,55,91
231,Student_231,79,54
232,Student_232,61,100
233,Student_233,71,69
234,Student_234,73,68
235,Student_235,57,98
236,Student_236,84,61
237,Student_237,55,84
238,Student_238,53,90
239,Student_239,79,62
240,Student_240,56,77
241,Student_241,68,76
242,Student_242,99,65
243,Student_243,51,69
244,Student_244,70,52
245,Student_245,92,82
246,Student_246,73,99
247,Student_247,80,91
248,Student_248,95,63
249,Student_249,90,57
250,Student_250,72,53
251,Student_251,53,90
252,Student_252,72,85
253,Student_253,81,88
254,Student_254,57,83
255,Student_255,93,92
256,Student_256,100,82
257,Student_257,52,79
258,Student_258,61,82
259,Student_259,61,92
260,Student_260,66,94
261,Student_261,94,53
262,Student_262,96,69
263,Student_263,100,92
264,Student_264,64,88
265,Student_265,88,89
266,Student_266,87,83
267,Student_267,91,83
268,Student_268,97,80
269,Student_269,68,81
270,Student_270,79,90
271,Student_271,86,83
272,Student_272,100,81
273,Student_273,57,50
274,Student_274,63,89
275,Student_275,62,52
276,Student_276,57,79
277,Student_277,81,85
278,Student_278,69,58
279,Student_279,76,61
280,Student_280,92,56
281,Student_281,97,73
282,Student_282,96,70
283,Student_283,64,50
284,Student_284,80,76
285,Student_285,86,51
286,Student_286,58,58
287,Student_287,63,56
288,Student_288,99,86
289,Student_289,54,81
290,Student_290,52,55
291,Student_291,95,66
292,Student_292,99,57
293,Student_293,66,65
294,Student_294,78,65
295,Student_295,85,72
296,Student_296,53,97
297,Student_297,59,93
298,Student_298,99,91
299,Student_299,66,58
300,Student_300,92,72
301,Student_301,65,69
302,Student_302,50,54
303,Student_303,83,69
304,Student_304,69,89
305,Student_305,86,89
306,Student_306,98,92
307,Student_307,52,75
308,Student_308,78,58
309,Student_309,65,88
310,Student_310,70,63
311,Student_311,52,83
312,Student_312,59,90
313,Student_313,88,88
314,Student_314,79,84
315,Student_315,66,90
316,Student_316,74,62
317,Student_317,56,54
318,Student_318,81,63
319,Student_319,66,84
320,Student_320,69,92
321,Student_321,78,92
322,Student_322,65,51
323,Student_323,84,63
324,Student_324,95,76
325,Student_325,74,82
326,Student_326,95,66
327,Student_327,66,75
328,Student_328,88,73
329,Student_329,78,91
330,Student_330,74,86
331,Student_331,54,57
332,Student_332,55,65
333,Student_333,98,54
334,Student_334,70,56
335,Student_335,81,53
336,Student_336,55,98
337,Student_337,78,63
338,Student_338,65,77
339,Student_339,52,60
340,Student_340,57,58
341,Student_341,96,79
342,Student_342,71,69
343,Student_343,82,51
344,Student_344,93,58
345,Student_345,100,51
346,Student_346,73,68
347,Student_347,95,78
348,Student_348,95,79
349,Student_349,85,75
350,Student_350,51,59
351,Student_351,89,91
352,Student_352,92,76
353,Student_353,85,53
354,Student_354,54,74
355,Student_355,65,54
356,Student_356,77,64
357,Student_357,94,78
358,Student_358,58,90
359,Student_359,76,62
360,Student_360,82,69
361,Student_361,74,80
362,Student_362,63,93
363,Student_363,56,57
364,Student_364,62,50
365,Student_365,81,90
366,Student_366,64,59
367,Student_367,91,99
368,Student_368,79,67
369,Student_369,57,58
370,Student_370,89,67
371,Student_371,63,98
372,Student_372,50,97
373,Student_373,52,50
374,Student_374,91,80
375,Student_375,50,80
376,Student_376,50,98
377,Student_377,86,92
378,Student_378,64,97
379,Student_379,93,95
380,Student_380,92,51
381,Student_381,74,70
382,Student_382,99,50
383,Student_383,67,50
384,Student_384,93,69
385,Student_385,52,54
386,Student_386,81,97
387,Student_387,54,74
388,Student_388,66,52
389,Student_389,98,50
390,Student_390,94,67
391,Student_391,87,72
392,Student_392,91,77
393,Student_393,51,70
394,Student_394,81,87
395,Student_395,81,72
396,Student_396,68,91
397,Student_397,77,66
398,Student_398,86,91
399,Student_399,83,99
400,Student_400,80,94
401,Student_401,85,99
402,Student_402,93,64
403,Student_403,98,61
404,Student_404,76,85
405,Student_405,75,98
406,Student_406,80,87
407,Student_407,88,66
408,Student_408,84,62
409,Student_409,57,61
410,Student_410,79,62
411,Student_411,50,58
412,Student_412,100,99
413,Student_413,88,53
414,Student_414,62,69
415,Student_415,77,65
416,Student_416,56,64
417,Student_417,91,54
418,Student_418,67,92
419,Student_419,98,50
420,Student_420,87,99
421,Student_421,52,51
422,Student_422,75,91
423,Student_423,71,62
424,Student_424,56,99
425,Student_425,89,90
426,Student_426,57,76
427,Student_427,94,95
428,Student_428,97,89
429,Student_429,80,58
430,Student_430,97,80
431,Student_431,87,66
432,Student_432,62,74
433,Student_433,72,92
434,Student_434,100,64
435,Student_435,60,65
436,Student_436,76,94
437,Student_437,98,96
438,Student_438,97,64
439,Student_439,54,73
440,Student_440,87,75
441,Student_441,66,51
442,Student_442,80,59
443,Student_443,77,94
444,Student_444,74,98
445,Student_445,98,70
446,Student_446,78,83
447,Student_447,77,81
448,Student_448,50,80
449,Student_449,76,64
450,Student_450,65,61
451,Student_451,62,85
452,Student_452,70,55
453,Student_453,59,79
454,Student_454,76,53
455,Student_455,76,70
456,Student_456,93,69
457,Student_457,58,66
458,Student_458,88,66
459,Student_459,63,50
460,Student_460,52,85
461,Student_461,76,97
462,Student_462,85,61
463,Student_463,83,58
464,Student_464,59,87
465,Student_465,97,79
466,Student_466,59,63
467,Student_467,74,60
468,Student_468,76,83
469,Student_469,95,60
470,Student_470,65,85
471,Student_471,97,86
472,Student_472,54,80
473,Student_473,97,71
474,Student_474,88,63
475,Student_475,82,54
476,Student_476,51,56
477,Student_477,94,51
478,Student_478,79,88
479,Student_479,62,90
480,Student_480,90,51
481,Student_481,96,93
482,Student_482,59,82
483,Student_483,88,78
484,Student_484,75,78
485,Student_485,73,64
486,Student_486,80,57
487,Student_487,86,85
488,Student_488,76,50
489,Student_489,76,71
490,Student_490,53,70
491,Student_491,64,76
492,Student_492,70,52
493,Student_493,63,64
494,Student_494,65,50
495,Student_495,65,53
496,Student_496,55,62
497,Student_497,58,85
498,Student_498,87,85
499,Student_499,63,51
500,Student_500,50,94
501,Student_501,93,59
502,Student_502,62,80
503,Student_503,81,76
504,Student_504,85,81
505,Student_505,77,58
506,Student_506,69,80
507,Student_507,97,78
508,Student_508,70,50
509,Student_509,87,57
510,Student_510,78,52
511,Student_511,92,93
512,Student_512,88,100
513,Student_513,78,57
514,Student_514,83,98
515,Student_515,99,79
516,Student_516,53,56
517,Student_517,92,63
518,Student_518,62,75
519,Student_519,54,71
520,Student_520,91,56
521,Student_521,75,60
522,Student_522,83,97
523,Student_523,91,99
524,Student_524,84,65
525,Student_525,57,73
526,Student_526,56,76
527,Student_527,100,97
528,Student_528,71,81
529,Student_529,78,98
530,Student_530,84,87
531,Student_531,50,82
532,Student_532,94,96
533,Student_533,85,56
534,Student_534,51,74
535,Student_535,74,51
536,Student_536,89,80
537,Student_537,74,78
538,Student_538,57,86
539,Student_539,97,84
540,Student_540,63,60
541,Student_541,89,84
542,Student_542,96,92
543,Student_543,67,100
544,Student_544,77,62
545,Student_545,68,56
546,Student_546,86,98
547,Student_547,81,76
548,Student_548,55,61
549,Student_549,57,64
550,Student_550,88,69
551,Student_551,84,72
552,Student_552,76,62
553,Student_553,63,89
554,Student_554,73,87
555,Student_555,67,96
556,Student_556,98,73
557,Student_557,63,55
558,Student_558,79,62
559,Student_559,92,59
560,Student_560,89,81
561,Student_561,60,50
562,Student_562,95,51
563,Student_563,77,53
564,Student_564,76,75
565,Student_565,50,80
566,Student_566,67,90
567,Student_567,56,79
568,Student_568,70,75
569,Student_569,100,94
570,Student_570,57,52
571,Student_571,51,97
572,Student_572,77,96
573,Student_573,58,61
574,Student_574,76,60
575,Student_575,85,63
576,Student_576,55,68
577,Student_577,71,58
578,Student_578,71,86
579,Student_579,87,78
580,Student_580,53,96
581,Student_581,55,79
582,Student_582,83,81
583,Student_583,96,100
584,Student_584,87,77
585,Student_585,97,52
586,Student_586,65,70
587,Student_587,50,85
588,Student_588,84,72
589,Student_589,80,58
590,Student_590,86,52
591,Student_591,58,54
592,Student_592,82,83
593,Student_593,85,94
594,Student_594,83,89
595,Student_595,87,53
596,Student_596,79,79
597,Student_597,95,84
598,Student_598,60,56
599,Student_599,69,88
600,Student_600,92,76
601,Student_601,91,76
602,Student_602,54,53
603,Student_603,80,73
604,Student_604,50,72
605,Student_605,71,79
606,Student_606,60,57
607,Student_607,58,95
608,Student_608,87,77
609,Student_609,99,78
610,Student_610,57,54
611,Student_611,54,63
612,Student_612,55,53
613,Student_613,82,92
614,Student_614,54,77
615,Student_615,80,69
616,Student_616,100,100
617,Student_617,51,59
618,Student_618,90,57
619,Student_619,84,59
620,Student_620,79,60
621,Student_621,75,55
622,Student_622,99,78
623,Student_623,72,95
624,Student_624,64,50
625,Student_625,82,78
626,Student_626,71,65
627,Student_627,87,87
628,Student_628,70,96
629,Student_629,89,83
630,Student_630,61,84
631,Student_631,92,58
632,Student_632,70,81
633,Student_633,100,81
634,Student_634,94,61
635,Student_635,56,56
636,Student_636,73,81
637,Student_637,81,70
638,Student_638,79,56
639,Student_639,77,71
640,Student_640,96,58
641,Student_641,76,67
642,Student_642,100,96
643,Student_643,99,99
644,Student_644,77,51
645,Student_645,97,93
646,Student_646,85,51
647,Student_647,98,87
648,Student_648,62,73
649,Student_649,61,98
650,Student_650,60,91
651,Student_651,65,61
652,Student_652,60,72
653,Student_653,84,94
654,Student_654,58,61
655,Student_655,54,55
656,Student_656,51,83
657,Student_657,61,100
658,Student_658,90,67
659,Student_659,81,64
660,Student_660,82,73
661,Student_661,90,88
662,Student_662,80,94
663,Student_663,54,54
